Longitude,Latitude,Pixel,Scan
133.878328,68.3408146,1400,400
133.997109,68.342115,1500,400
134.115905,68.3433581,1600,400
134.23472,68.3445439,1700,400
134.353553,68.3456723,1800,400
134.472406,68.3467433,1900,400
134.591281,68.347757,2000,400
134.710179,68.3487133,2100,400
134.829102,68.3496122,2200,400
134.94805,68.3504536,2300,400
135.067025,68.3512377,2400,400
135.186029,68.3519642,2500,400
135.305063,68.3526333,2600,400
135.424128,68.3532449,2700,400
135.543226,68.3537989,2800,400
135.662358,68.3542953,2900,400
135.781525,68.3547341,3000,400
135.900729,68.3551152,3100,400
136.019972,68.3554385,3200,400
136.139254,68.3557041,3300,400
136.258577,68.3559119,3400,400
136.377942,68.3560618,3500,400
136.497351,68.3561537,3600,400
136.616806,68.3561877,3700,400
136.736307,68.3561635,3800,400
136.855856,68.3560812,3900,400
136.974258,68.3559424,3999,400
132.214083,68.3315566,0,500
132.332858,68.3336636,100,500
132.451631,68.3357129,200,500
132.570402,68.3377044,300,500
132.689172,68.3396383,400,500
132.807944,68.3415145,500,500
132.926719,68.3433331,600,500
133.045497,68.3450942,700,500
133.164281,68.3467978,800,500
133.283071,68.3484438,900,500
133.401869,68.3500324,1000,500
133.520677,68.3515635,1100,500
133.639496,68.3530372,1200,500
133.758326,68.3544534,1300,500
133.87717,68.3558122,1400,500
133.996029,68.3571135,1500,500
134.114904,68.3583575,1600,500
134.233797,68.359544,1700,500
134.352709,68.3606731,1800,500
134.471641,68.3617448,1900,500
134.590594,68.3627591,2000,500
134.709571,68.3637159,2100,500
134.828572,68.3646152,2200,500
134.947599,68.3654571,2300,500
135.066653,68.3662414,2400,500
135.185736,68.3669683,2500,500
135.304848,68.3676375,2600,500
135.423992,68.3682492,2700,500
135.543169,68.3688033,2800,500
135.66238,68.3692997,2900,500
135.781626,68.3697384,3000,500
135.900909,68.3701194,3100,500
136.02023,68.3704425,3200,500
136.139591,68.3707079,3300,500
136.258993,68.3709153,3400,500
136.378438,68.3710648,3500,500
136.497926,68.3711563,3600,500
136.61746,68.3711897,3700,500
136.73704,68.371165,3800,500
136.856669,68.371082,3900,500
136.97515,68.3709425,3999,500
132.211475,68.3465809,0,600
132.330329,68.3486897,100,600
132.449181,68.3507406,200,600
132.568031,68.3527338,300,600
132.686881,68.3546692,400,600
132.805732,68.356547,500,600
132.924585,68.3583671,600,600
133.043443,68.3601296,700,600
133.162306,68.3618344,800,600
133.281175,68.3634817,900,600
133.400053,68.3650715,1000,600
133.51894,68.3666037,1100,600
133.637837,68.3680784,1200,600
133.756747,68.3694956,1300,600
133.87567,68.3708553,1400,600
133.994609,68.3721575,1500,600
134.113563,68.3734023,1600,600
134.232535,68.3745895,1700,600
134.351526,68.3757193,1800,600
134.470537,68.3767916,1900,600
134.58957,68.3778064,2000,600
134.708626,68.3787636,2100,600
134.827707,68.3796634,2200,600
134.946813,68.3805056,2300,600
135.065946,68.3812902,2400,600
135.185109,68.3820172,2500,600
135.304301,68.3826866,2600,600
135.423524,68.3832984,2700,600
135.54278,68.3838525,2800,600
135.66207,68.3843488,2900,600
135.781396,68.3847874,3000,600
135.900758,68.3851682,3100,600
136.020159,68.3854911,3200,600
136.139599,68.3857561,3300,600
136.259081,68.3859632,3400,600
136.378605,68.3861122,3500,600
136.498172,68.3862032,3600,600
136.617786,68.386236,3700,600
136.737445,68.3862107,3800,600
136.857153,68.386127,3900,600
136.975713,68.3859867,3999,600
132.209378,68.3615298,0,700
132.32831,68.3636404,100,700
132.447239,68.3656931,200,700
132.566167,68.367688,300,700
132.685094,68.3696251,400,700
132.804023,68.3715044,500,700
132.922954,68.3733261,600,700
133.041889,68.37509,700,700
133.16083,68.3767962,800,700
133.279777,68.3784449,900,700
133.398733,68.3800359,1000,700
133.517698,68.3815693,1100,700
133.636673,68.3830452,1200,700
133.755661,68.3844634,1300,700
133.874663,68.3858241,1400,700
133.993679,68.3871273,1500,700
134.112712,68.3883729,1600,700
134.231762,68.389561,1700,700
134.350831,68.3906915,1800,700
134.469921,68.3917645,1900,700
134.589032,68.3927799,2000,700
134.708167,68.3937377,2100,700
134.827326,68.394638,2200,700
134.946511,68.3954806,2300,700
135.065723,68.3962656,2400,700
135.184963,68.3969929,2500,700
135.304234,68.3976626,2600,700
135.423536,68.3982745,2700,700
135.542871,68.3988287,2800,700
135.66224,68.3993251,2900,700
135.781644,68.3997636,3000,700
135.901086,68.4001443,3100,700
136.020566,68.4004671,3200,700
136.140085,68.4007319,3300,700
136.259646,68.4009387,3400,700
136.379249,68.4010874,3500,700
136.498896,68.4011779,3600,700
136.618588,68.4012103,3700,700
136.738327,68.4011843,3800,700
136.858114,68.4011001,3900,700
136.976752,68.4009591,3999,700
132.207006,68.3765215,0,800
132.326016,68.3786339,100,800
132.445024,68.3806883,200,800
132.56403,68.3826848,300,800
132.683036,68.3846235,400,800
132.802043,68.3865044,500,800
132.921053,68.3883274,600,800
133.040067,68.3900927,700,800
133.159087,68.3918003,800,800
133.278113,68.3934502,900,800
133.397147,68.3950424,1000,800
133.516191,68.3965769,1100,800
133.635246,68.3980538,1200,800
133.754312,68.3994731,1300,800
133.873393,68.4008347,1400,800
133.992488,68.4021388,1500,800
134.1116,68.4033852,1600,800
134.230729,68.404574,1700,800
134.349877,68.4057052,1800,800
134.469046,68.4067788,1900,800
134.588236,68.4077947,2000,800
134.70745,68.408753,2100,800
134.826688,68.4096537,2200,800
134.945952,68.4104966,2300,800
135.065243,68.4112819,2400,800
135.184563,68.4120094,2500,800
135.303913,68.4126792,2600,800
135.423295,68.4132912,2700,800
135.542709,68.4138454,2800,800
135.662157,68.4143418,2900,800
135.781641,68.4147802,3000,800
135.901162,68.4151607,3100,800
136.020721,68.4154833,3200,800
136.14032,68.4157477,3300,800
136.25996,68.4159541,3400,800
136.379642,68.4161024,3500,800
136.499369,68.4161924,3600,800
136.619141,68.4162242,3700,800
136.738959,68.4161976,3800,800
136.858826,68.4161126,3900,800
136.977543,68.4159709,3999,800
132.204639,68.3915089,0,900
132.323728,68.3936231,100,900
132.442814,68.3956793,200,900
132.561899,68.3976775,300,900
132.680984,68.3996178,400,900
132.80007,68.4015003,500,900
132.919159,68.4033249,600,900
133.038252,68.4050916,700,900
133.15735,68.4068006,800,900
133.276455,68.4084518,900,900
133.395568,68.4100452,1000,900
133.514691,68.411581,1100,900
133.633824,68.413059,1200,900
133.75297,68.4144793,1300,900
133.872129,68.415842,1400,900
133.991303,68.4171469,1500,900
134.110494,68.4183942,1600,900
134.229702,68.4195838,1700,900
134.34893,68.4207158,1800,900
134.468178,68.42179,1900,900
134.587447,68.4228066,2000,900
134.70674,68.4237654,2100,900
134.826057,68.4246665,2200,900
134.945401,68.4255099,2300,900
135.064771,68.4262955,2400,900
135.18417,68.4270234,2500,900
135.3036,68.4276934,2600,900
135.42306,68.4283055,2700,900
135.542554,68.4288598,2800,900
135.662082,68.4293562,2900,900
135.781645,68.4297946,3000,900
135.901245,68.430175,3100,900
136.020884,68.4304973,3200,900
136.140562,68.4307616,3300,900
136.260282,68.4309676,3400,900
136.380044,68.4311155,3500,900
136.49985,68.4312051,3600,900
136.619702,68.4312364,3700,900
136.7396,68.4312092,3800,900
136.859546,68.4311236,3900,900
136.978342,68.4309812,3999,900
132.202032,68.4065376,0,1000
132.3212,68.4086535,100,1000
132.440366,68.4107114,200,1000
132.559531,68.4127112,300,1000
132.678695,68.414653,400,1000
132.797861,68.4165368,500,1000
132.917029,68.4183628,600,1000
133.036202,68.4201309,700,1000
133.15538,68.4218411,800,1000
133.274564,68.4234934,900,1000
133.393757,68.425088,1000,1000
133.51296,68.4266248,1100,1000
133.632173,68.4281038,1200,1000
133.751398,68.429525,1300,1000
133.870637,68.4308885,1400,1000
133.989891,68.4321942,1500,1000
134.109162,68.4334422,1600,1000
134.22845,68.4346325,1700,1000
134.347757,68.435765,1800,1000
134.467085,68.4368398,1900,1000
134.586434,68.4378568,2000,1000
134.705807,68.438816,2100,1000
134.825204,68.4397174,2200,1000
134.944627,68.440561,2300,1000
135.064077,68.4413468,2400,1000
135.183557,68.4420748,2500,1000
135.303066,68.4427449,2600,1000
135.422606,68.443357,2700,1000
135.54218,68.4439112,2800,1000
135.661787,68.4444074,2900,1000
135.78143,68.4448456,3000,1000
135.901111,68.4452257,3100,1000
136.020829,68.4455477,3200,1000
136.140587,68.4458116,3300,1000
136.260387,68.4460172,3400,1000
136.380229,68.4461645,3500,1000
136.500115,68.4462535,3600,1000
136.620046,68.4462841,3700,1000
136.740025,68.4462562,3800,1000
136.860051,68.4461698,3900,1000
136.978926,68.4460265,3999,1000
132.199915,68.4214976,0,1100
132.319162,68.4236154,100,1100
132.438406,68.425675,200,1100
132.557648,68.4276765,300,1100
132.676891,68.42962,400,1100
132.796135,68.4315054,500,1100
132.915382,68.4333329,600,1100
133.034633,68.4351024,700,1100
133.153889,68.436814,800,1100
133.273152,68.4384677,900,1100
133.392424,68.4400635,1000,1100
133.511704,68.4416015,1100,1100
133.630996,68.4430816,1200,1100
133.7503,68.4445039,1300,1100
133.869618,68.4458684,1400,1100
133.988951,68.4471751,1500,1100
134.1083,68.448424,1600,1100
134.227667,68.449615,1700,1100
134.347053,68.4507483,1800,1100
134.46646,68.4518237,1900,1100
134.585888,68.4528414,2000,1100
134.70534,68.4538011,2100,1100
134.824816,68.4547031,2200,1100
134.944319,68.4555471,2300,1100
135.063848,68.4563333,2400,1100
135.183407,68.4570615,2500,1100
135.302995,68.4577318,2600,1100
135.422615,68.4583441,2700,1100
135.542268,68.4588984,2800,1100
135.661955,68.4593947,2900,1100
135.781677,68.4598328,3000,1100
135.901437,68.4602128,3100,1100
136.021235,68.4605347,3200,1100
136.141073,68.4607983,3300,1100
136.260952,68.4610036,3400,1100
136.380874,68.4611505,3500,1100
136.50084,68.4612391,3600,1100
136.620851,68.4612692,3700,1100
136.740909,68.4612408,3800,1100
136.861015,68.4611537,3900,1100
136.97997,68.4610097,3999,1100
132.197321,68.4365128,0,1200
132.316648,68.4386323,100,1200
132.435972,68.4406936,200,1200
132.555294,68.4426968,300,1200
132.674616,68.4446419,400,1200
132.79394,68.4465288,500,1200
132.913266,68.4483577,600,1200
133.032597,68.4501286,700,1200
133.151933,68.4518416,800,1200
133.271276,68.4534965,900,1200
133.390627,68.4550935,1000,1200
133.509988,68.4566326,1100,1200
133.629359,68.4581138,1200,1200
133.748743,68.4595371,1300,1200
133.868141,68.4609025,1400,1200
133.987553,68.4622101,1500,1200
134.106982,68.4634597,1600,1200
134.226429,68.4646515,1700,1200
134.345895,68.4657854,1800,1200
134.465382,68.4668615,1900,1200
134.58489,68.4678796,2000,1200
134.704421,68.4688399,2100,1200
134.823978,68.4697422,2200,1200
134.94356,68.4705866,2300,1200
135.063169,68.471373,2400,1200
135.182808,68.4721014,2500,1200
135.302476,68.4727719,2600,1200
135.422176,68.4733843,2700,1200
135.541908,68.4739386,2800,1200
135.661675,68.4744347,2900,1200
135.781478,68.4748728,3000,1200
135.901318,68.4752526,3100,1200
136.021196,68.4755742,3200,1200
136.141114,68.4758374,3300,1200
136.261073,68.4760424,3400,1200
136.381075,68.4761889,3500,1200
136.501121,68.4762769,3600,1200
136.621212,68.4763064,3700,1200
136.74135,68.4762773,3800,1200
136.861536,68.4761895,3900,1200
136.98057,68.4760448,3999,1200
132.195149,68.4514745,0,1300
132.314553,68.4535959,100,1300
132.433956,68.455659,200,1300
132.553356,68.457664,300,1300
132.672757,68.4596107,400,1300
132.792159,68.4614993,500,1300
132.911564,68.4633298,600,1300
133.030974,68.4651022,700,1300
133.150388,68.4668166,800,1300
133.26981,68.4684729,900,1300
133.38924,68.4700712,1000,1300
133.50868,68.4716116,1100,1300
133.62813,68.4730939,1200,1300
133.747593,68.4745184,1300,1300
133.86707,68.4758848,1400,1300
133.986561,68.4771933,1500,1300
134.106069,68.4784439,1600,1300
134.225595,68.4796366,1700,1300
134.34514,68.4807713,1800,1300
134.464706,68.4818481,1900,1300
134.584294,68.4828669,2000,1300
134.703905,68.4838277,2100,1300
134.82354,68.4847306,2200,1300
134.943202,68.4855754,2300,1300
135.062891,68.4863622,2400,1300
135.182608,68.487091,2500,1300
135.302356,68.4877617,2600,1300
135.422136,68.4883743,2700,1300
135.541948,68.4889287,2800,1300
135.661795,68.489425,2900,1300
135.781677,68.489863,3000,1300
135.901597,68.4902428,3100,1300
136.021555,68.4905643,3200,1300
136.141552,68.4908273,3300,1300
136.261591,68.491032,3400,1300
136.381673,68.4911782,3500,1300
136.501799,68.4912658,3600,1300
136.62197,68.4912949,3700,1300
136.742188,68.4912653,3800,1300
136.862455,68.4911769,3900,1300
136.981568,68.4910315,3999,1300
132.192712,68.466473,0,1400
132.312196,68.4685962,100,1400
132.431678,68.4706611,200,1400
132.551158,68.4726676,300,1400
132.670638,68.4746159,400,1400
132.79012,68.476506,500,1400
132.909604,68.478338,600,1400
133.029093,68.4801117,700,1400
133.148588,68.4818274,800,1400
133.268089,68.483485,900,1400
133.387598,68.4850845,1000,1400
133.507117,68.4866259,1100,1400
133.626648,68.4881093,1200,1400
133.74619,68.4895347,1300,1400
133.865747,68.4909021,1400,1400
133.985318,68.4922115,1500,1400
134.104906,68.4934628,1600,1400
134.224512,68.4946562,1700,1400
134.344137,68.4957916,1800,1400
134.463782,68.4968689,1900,1400
134.583449,68.4978882,2000,1400
134.70314,68.4988495,2100,1400
134.822856,68.4997527,2200,1400
134.942597,68.5005979,2300,1400
135.062366,68.501385,2400,1400
135.182164,68.502114,2500,1400
135.301992,68.5027848,2600,1400
135.421851,68.5033974,2700,1400
135.541744,68.5039519,2800,1400
135.66167,68.504448,2900,1400
135.781633,68.5048859,3000,1400
135.901632,68.5052655,3100,1400
136.02167,68.5055867,3200,1400
136.141748,68.5058494,3300,1400
136.261868,68.5060537,3400,1400
136.38203,68.5061994,3500,1400
136.502236,68.5062865,3600,1400
136.622487,68.5063149,3700,1400
136.742786,68.5062846,3800,1400
136.863132,68.5061955,3900,1400
136.982325,68.5060493,3999,1400
132.190235,68.4814781,0,1500
132.309799,68.4836031,100,1500
132.42936,68.4856697,200,1500
132.54892,68.4876779,300,1500
132.66848,68.4896278,400,1500
132.788042,68.4915194,500,1500
132.907606,68.4933528,600,1500
133.027175,68.495128,700,1500
133.146749,68.496845,800,1500
133.26633,68.4985038,900,1500
133.385919,68.5001045,1000,1500
133.505518,68.5016471,1100,1500
133.625128,68.5031316,1200,1500
133.744751,68.504558,1300,1500
133.864387,68.5059263,1400,1500
133.984038,68.5072365,1500,1500
134.103706,68.5084887,1600,1500
134.223392,68.5096828,1700,1500
134.343097,68.5108188,1800,1500
134.462823,68.5118968,1900,1500
134.58257,68.5129166,2000,1500
134.702341,68.5138784,2100,1500
134.822136,68.514782,2200,1500
134.941958,68.5156276,2300,1500
135.061807,68.5164149,2400,1500
135.181685,68.5171441,2500,1500
135.301593,68.5178151,2600,1500
135.421533,68.5184278,2700,1500
135.541506,68.5189822,2800,1500
135.661513,68.5194783,2900,1500
135.781555,68.5199161,3000,1500
135.901635,68.5202955,3100,1500
136.021754,68.5206164,3200,1500
136.141912,68.5208788,3300,1500
136.262111,68.5210827,3400,1500
136.382354,68.521228,3500,1500
136.50264,68.5213146,3600,1500
136.622972,68.5213424,3700,1500
136.743351,68.5213115,3800,1500
136.863778,68.5212217,3900,1500
136.98305,68.5210747,3999,1500
132.18801,68.4964355,0,1600
132.307652,68.4985624,100,1600
132.427292,68.5006309,200,1600
132.546931,68.5026409,300,1600
132.66657,68.5045925,400,1600
132.78621,68.5064858,500,1600
132.905853,68.5083208,600,1600
133.025501,68.5100975,700,1600
133.145154,68.511816,800,1600
133.264814,68.5134762,900,1600
133.384483,68.5150782,1000,1600
133.504161,68.5166221,1100,1600
133.62385,68.5181078,1200,1600
133.743552,68.5195353,1300,1600
133.863268,68.5209047,1400,1600
133.982998,68.522216,1500,1600
134.102746,68.5234691,1600,1600
134.222511,68.5246641,1700,1600
134.342295,68.5258009,1800,1600
134.4621,68.5268796,1900,1600
134.581927,68.5279002,2000,1600
134.701778,68.5288626,2100,1600
134.821653,68.5297668,2200,1600
134.941554,68.5306128,2300,1600
135.061483,68.5314006,2400,1600
135.181441,68.5321301,2500,1600
135.301429,68.5328014,2600,1600
135.421448,68.5334143,2700,1600
135.541501,68.5339689,2800,1600
135.661588,68.5344652,2900,1600
135.78171,68.534903,3000,1600
135.90187,68.5352823,3100,1600
136.022069,68.5356031,3200,1600
136.142307,68.5358654,3300,1600
136.262587,68.536069,3400,1600
136.38291,68.536214,3500,1600
136.503276,68.5363002,3600,1600
136.623688,68.5363277,3700,1600
136.744148,68.5362962,3800,1600
136.864655,68.5362058,3900,1600
136.984007,68.5360582,3999,1600
132.185355,68.5114659,0,1700
132.305078,68.5135945,100,1700
132.424798,68.5156645,200,1700
132.544517,68.5176761,300,1700
132.664237,68.5196293,400,1700
132.783958,68.521524,500,1700
132.903681,68.5233604,600,1700
133.023409,68.5251384,700,1700
133.143143,68.5268581,800,1700
133.262884,68.5285195,900,1700
133.382633,68.5301227,1000,1700
133.502392,68.5316676,1100,1700
133.622162,68.5331542,1200,1700
133.741944,68.5345827,1300,1700
133.86174,68.5359529,1400,1700
133.981551,68.537265,1500,1700
134.101379,68.5385188,1600,1700
134.221225,68.5397144,1700,1700
134.34109,68.5408519,1800,1700
134.460976,68.5419311,1900,1700
134.580883,68.5429521,2000,1700
134.700814,68.5439148,2100,1700
134.82077,68.5448194,2200,1700
134.940752,68.5456656,2300,1700
135.060762,68.5464536,2400,1700
135.1808,68.5471832,2500,1700
135.300869,68.5478546,2600,1700
135.420969,68.5484675,2700,1700
135.541102,68.549022,2800,1700
135.66127,68.5495181,2900,1700
135.781473,68.5499557,3000,1700
135.901714,68.5503347,3100,1700
136.021993,68.5506552,3200,1700
136.142312,68.5509171,3300,1700
136.262673,68.5511202,3400,1700
136.383076,68.5512646,3500,1700
136.503523,68.5513503,3600,1700
136.624016,68.551377,3700,1700
136.744556,68.5513448,3800,1700
136.865144,68.5512536,3900,1700
136.984576,68.5511051,3999,1700
132.183223,68.5264094,0,1800
132.303024,68.52854,100,1800
132.422823,68.530612,200,1800
132.542621,68.5326255,300,1800
132.662419,68.5345804,400,1800
132.782219,68.5364768,500,1800
132.902022,68.5383149,600,1800
133.021829,68.5400945,700,1800
133.141641,68.5418157,800,1800
133.261461,68.5434786,900,1800
133.381289,68.5450831,1000,1800
133.501127,68.5466293,1100,1800
133.620976,68.5481173,1200,1800
133.740838,68.5495469,1300,1800
133.860713,68.5509183,1400,1800
133.980604,68.5522314,1500,1800
134.100511,68.5534862,1600,1800
134.220436,68.5546828,1700,1800
134.340381,68.5558211,1800,1800
134.460346,68.5569011,1900,1800
134.580334,68.5579229,2000,1800
134.700344,68.5588863,2100,1800
134.82038,68.5597914,2200,1800
134.940442,68.5606382,2300,1800
135.060531,68.5614267,2400,1800
135.180649,68.5621567,2500,1800
135.300798,68.5628284,2600,1800
135.420978,68.5634416,2700,1800
135.541191,68.5639964,2800,1800
135.661439,68.5644926,2900,1800
135.781722,68.5649303,3000,1800
135.902043,68.5653093,3100,1800
136.022402,68.5656298,3200,1800
136.142802,68.5658915,3300,1800
136.263243,68.5660945,3400,1800
136.383726,68.5662386,3500,1800
136.504254,68.5663239,3600,1800
136.624827,68.5663503,3700,1800
136.745448,68.5663177,3800,1800
136.866117,68.5662259,3900,1800
136.985628,68.5660769,3999,1800
132.180688,68.541409,0,1900
132.30057,68.5435414,100,1900
132.420449,68.5456151,200,1900
132.540327,68.5476302,300,1900
132.660206,68.5495867,400,1900
132.780085,68.5514846,500,1900
132.899968,68.5533241,600,1900
133.019855,68.5551051,700,1900
133.139748,68.5568277,800,1900
133.259648,68.5584918,900,1900
133.379557,68.5600975,1000,1900
133.499475,68.5616449,1100,1900
133.619404,68.5631339,1200,1900
133.739346,68.5645645,1300,1900
133.859302,68.5659368,1400,1900
133.979273,68.5672508,1500,1900
134.099261,68.5685064,1600,1900
134.219266,68.5697037,1700,1900
134.339291,68.5708427,1800,1900
134.459337,68.5719233,1900,1900
134.579405,68.5729456,2000,1900
134.699496,68.5739095,2100,1900
134.819612,68.574815,2200,1900
134.939754,68.5756621,2300,1900
135.059924,68.5764509,2400,1900
135.180123,68.5771811,2500,1900
135.300352,68.5778529,2600,1900
135.420613,68.5784662,2700,1900
135.540906,68.5790209,2800,1900
135.661235,68.5795171,2900,1900
135.781599,68.5799546,3000,1900
135.902,68.5803335,3100,1900
136.02244,68.5806537,3200,1900
136.14292,68.5809151,3300,1900
136.263442,68.5811177,3400,1900
136.384006,68.5812614,3500,1900
136.504615,68.5813461,3600,1900
136.625269,68.5813719,3700,1900
136.74597,68.5813386,3800,1900
136.86672,68.5812461,3900,1900
136.986311,68.5810963,3999,1900
132.178405,68.5563801,0,2000
132.298366,68.5585143,100,2000
132.418324,68.5605898,200,2000
132.538282,68.5626066,300,2000
132.65824,68.5645648,400,2000
132.778199,68.5664644,500,2000
132.898162,68.5683054,600,2000
133.018129,68.5700878,700,2000
133.138101,68.5718118,800,2000
133.258081,68.5734772,900,2000
133.378069,68.5750842,1000,2000
133.498067,68.5766328,1100,2000
133.618077,68.5781229,1200,2000
133.738098,68.5795546,1300,2000
133.858134,68.5809279,1400,2000
133.978185,68.5822428,1500,2000
134.098253,68.5834993,1600,2000
134.218338,68.5846974,1700,2000
134.338444,68.5858371,1800,2000
134.458569,68.5869184,1900,2000
134.578717,68.5879413,2000,2000
134.698889,68.5889058,2100,2000
134.819085,68.5898118,2200,2000
134.939308,68.5906593,2300,2000
135.059558,68.5914484,2400,2000
135.179837,68.5921789,2500,2000
135.300146,68.5928509,2600,2000
135.420488,68.5934643,2700,2000
135.540862,68.5940192,2800,2000
135.661271,68.5945153,2900,2000
135.781716,68.5949528,3000,2000
135.902198,68.5953316,3100,2000
136.022718,68.5956515,3200,2000
136.143279,68.5959127,3300,2000
136.263881,68.596115,3400,2000
136.384526,68.5962583,3500,2000
136.505216,68.5963426,3600,2000
136.625951,68.5963678,3700,2000
136.746733,68.5963339,3800,2000
136.867563,68.5962408,3900,2000
136.987235,68.5960902,3999,2000
132.176055,68.5713563,0,2100
