Longitude,Latitude,Pixel,Scan
134.360132,61.2262819,1400,400
134.437414,61.2269511,1500,400
134.514702,61.2275678,1600,400
134.591997,61.2281321,1700,400
134.6693,61.2286438,1800,400
134.746611,61.2291031,1900,400
134.82393,61.2295098,2000,400
134.901258,61.229864,2100,400
134.978596,61.2301656,2200,400
135.055944,61.2304147,2300,400
135.133303,61.2306112,2400,400
135.210674,61.2307551,2500,400
135.288056,61.2308464,2600,400
135.36545,61.2308851,2700,400
135.442858,61.230871,2800,400
135.520279,61.2308043,2900,400
135.597714,61.2306849,3000,400
135.675164,61.2305127,3100,400
135.752629,61.2302877,3200,400
135.83011,61.23001,3300,400
135.907607,61.2296793,3400,400
135.985121,61.2292957,3500,400
136.062653,61.2288593,3600,400
136.140203,61.2283698,3700,400
136.217771,61.2278273,3800,400
136.295358,61.2272317,3900,400
136.372189,61.2265897,3999,400
133.277359,61.2263814,0,500
133.354647,61.2277869,100,500
133.431934,61.2291398,200,500
133.50922,61.23044,300,500
133.586505,61.2316876,400,500
133.663791,61.2328826,500,500
133.741078,61.234025,600,500
133.818366,61.2351148,700,500
133.895656,61.236152,800,500
133.972949,61.2371367,900,500
134.050244,61.2380688,1000,500
134.127543,61.2389484,1100,500
134.204846,61.2397755,1200,500
134.282154,61.2405501,1300,500
134.359468,61.2412721,1400,500
134.436787,61.2419416,1500,500
134.514112,61.2425586,1600,500
134.591444,61.2431231,1700,500
134.668784,61.243635,1800,500
134.746132,61.2440944,1900,500
134.823488,61.2445013,2000,500
134.900853,61.2448556,2100,500
134.978228,61.2451573,2200,500
135.055613,61.2454064,2300,500
135.13301,61.245603,2400,500
135.210417,61.2457469,2500,500
135.287836,61.2458381,2600,500
135.365268,61.2458767,2700,500
135.442712,61.2458626,2800,500
135.520171,61.2457958,2900,500
135.597643,61.2456762,3000,500
135.67513,61.2455039,3100,500
135.752632,61.2452787,3200,500
135.83015,61.2450007,3300,500
135.907685,61.2446698,3400,500
135.985236,61.244286,3500,500
